id,area,section,level,question,question_en
401,Backend,Node.js API,Junior,Что такое accessibility (advanced)?,What is accessibility (advanced)?
402,Backend,Node.js API,Junior,Как работает CSS Grid (advanced)?,How does CSS Grid work (advanced)?
403,Backend,Node.js API,Junior,Когда использовать HTTP caching (advanced)?,When should you use HTTP caching (advanced)?
404,Backend,Node.js API,Junior,Какие проблемы возникают при использовании CORS (advanced)?,What problems can arise when using CORS (advanced)?
405,Backend,Node.js API,Junior,Как протестировать React hooks (advanced)?,How do you test React hooks (advanced)?
406,Backend,Node.js API,Junior,Как оптимизировать state management (advanced)?,How do you optimize state management (advanced)?
407,Backend,Node.js API,Junior,Сравните SSR с альтернативным подходом.,Compare SSR with an alternative approach.
408,Backend,Node.js API,Junior,Какие ошибки часто допускают при работе с testing (advanced)?,What common mistakes are made when working with testing (advanced)?
409,Backend,Node.js API,Junior,Как XSS влияет на производительность (advanced)?,How does XSS affect performance (advanced)?
410,Backend,Node.js API,Junior,Приведите production-пример использования Node.js streams.,Give a production example of using Node.js streams.
411,Backend,Node.js API,Junior,Что такое REST API (advanced)?,What is REST API (advanced)?
412,Backend,Node.js API,Junior,Как работает transactions (advanced)?,How does transactions work (advanced)?
413,Backend,Node.js API,Junior,Когда использовать indexes (advanced)?,When should you use indexes (advanced)?
414,Backend,Node.js API,Junior,Какие проблемы возникают при использовании Redis caching (advanced)?,What problems can arise when using Redis caching (advanced)?
415,Backend,Node.js API,Junior,Как протестировать message queues (advanced)?,How do you test message queues (advanced)?
416,Backend,Node.js API,Junior,Как оптимизировать microservices (advanced)?,How do you optimize microservices (advanced)?
417,Backend,Node.js API,Junior,Сравните JWT с альтернативным подходом.,Compare JWT with an alternative approach.
418,Backend,Node.js API,Junior,Какие ошибки часто допускают при работе с Docker (advanced)?,What common mistakes are made when working with Docker (advanced)?
419,Backend,Node.js API,Junior,Как observability влияет на производительность (advanced)?,How does observability affect performance (advanced)?
420,Backend,Node.js API,Junior,Приведите production-пример использования system design.,Give a production example of using system design.
421,Backend,Node.js API,Junior,Что такое closures (advanced)?,What is closures (advanced)?
422,Backend,Node.js API,Junior,Как работает event loop (advanced)?,How does event loop work (advanced)?
423,Backend,Node.js API,Junior,Когда использовать promises (advanced)?,When should you use promises (advanced)?
424,Backend,Node.js API,Junior,Какие проблемы возникают при использовании async/await (advanced)?,What problems can arise when using async/await (advanced)?
425,Backend,Node.js API,Junior,Как протестировать prototypes (advanced)?,How do you test prototypes (advanced)?
426,Backend,Node.js API,Junior,Как оптимизировать TypeScript generics (advanced)?,How do you optimize TypeScript generics (advanced)?
427,Backend,Node.js API,Junior,Сравните accessibility с альтернативным подходом.,Compare accessibility with an alternative approach.
428,Backend,Node.js API,Junior,Какие ошибки часто допускают при работе с CSS Grid (advanced)?,What common mistakes are made when working with CSS Grid (advanced)?
429,Backend,Node.js API,Junior,Как HTTP caching влияет на производительность (advanced)?,How does HTTP caching affect performance (advanced)?
430,Backend,Node.js API,Junior,Приведите production-пример использования CORS.,Give a production example of using CORS.
431,Backend,Node.js API,Middle,Что такое React hooks (advanced)?,What is React hooks (advanced)?
432,Backend,Node.js API,Middle,Как работает state management (advanced)?,How does state management work (advanced)?
433,Backend,Node.js API,Middle,Когда использовать SSR (advanced)?,When should you use SSR (advanced)?
434,Backend,Node.js API,Middle,Какие проблемы возникают при использовании testing (advanced)?,What problems can arise when using testing (advanced)?
435,Backend,Node.js API,Middle,Как протестировать XSS (advanced)?,How do you test XSS (advanced)?
436,Backend,Node.js API,Middle,Как оптимизировать Node.js streams (advanced)?,How do you optimize Node.js streams (advanced)?
437,Backend,Node.js API,Middle,Сравните REST API с альтернативным подходом.,Compare REST API with an alternative approach.
438,Backend,Node.js API,Middle,Какие ошибки часто допускают при работе с transactions (advanced)?,What common mistakes are made when working with transactions (advanced)?
439,Backend,Node.js API,Middle,Как indexes влияет на производительность (advanced)?,How does indexes affect performance (advanced)?
440,Backend,Node.js API,Middle,Приведите production-пример использования Redis caching.,Give a production example of using Redis caching.
441,Backend,Node.js API,Middle,Что такое message queues (advanced)?,What is message queues (advanced)?
442,Backend,Node.js API,Middle,Как работает microservices (advanced)?,How does microservices work (advanced)?
443,Backend,Node.js API,Middle,Когда использовать JWT (advanced)?,When should you use JWT (advanced)?
444,Backend,Node.js API,Middle,Какие проблемы возникают при использовании Docker (advanced)?,What problems can arise when using Docker (advanced)?
445,Backend,Node.js API,Middle,Как протестировать observability (advanced)?,How do you test observability (advanced)?
446,Backend,Node.js API,Middle,Как оптимизировать system design (advanced)?,How do you optimize system design (advanced)?
447,Backend,Node.js API,Middle,Сравните closures с альтернативным подходом.,Compare closures with an alternative approach.
448,Backend,Node.js API,Middle,Какие ошибки часто допускают при работе с event loop (advanced)?,What common mistakes are made when working with event loop (advanced)?
449,Backend,Node.js API,Middle,Как promises влияет на производительность (advanced)?,How does promises affect performance (advanced)?
450,Backend,Node.js API,Middle,Приведите production-пример использования async/await.,Give a production example of using async/await.
451,Backend,Node.js API,Middle,Что такое prototypes (advanced)?,What is prototypes (advanced)?
452,Backend,Node.js API,Middle,Как работает TypeScript generics (advanced)?,How does TypeScript generics work (advanced)?
453,Backend,Node.js API,Middle,Когда использовать accessibility (advanced)?,When should you use accessibility (advanced)?
454,Backend,Node.js API,Middle,Какие проблемы возникают при использовании CSS Grid (advanced)?,What problems can arise when using CSS Grid (advanced)?
455,Backend,Node.js API,Middle,Как протестировать HTTP caching (advanced)?,How do you test HTTP caching (advanced)?
456,Backend,Node.js API,Middle,Как оптимизировать CORS (advanced)?,How do you optimize CORS (advanced)?
457,Backend,Node.js API,Middle,Сравните React hooks с альтернативным подходом.,Compare React hooks with an alternative approach.
