id,area,section,level,question
1,Frontend,Frontend / JavaScript,Junior,Объясните closures.
2,Frontend,Frontend / JavaScript,Junior,Какие проблемы возникают при использовании event loop?
3,Frontend,Frontend / JavaScript,Junior,Как проверить и отладить microtasks?
4,Frontend,Frontend / JavaScript,Junior,Приведите production-пример использования macrotasks.
5,Frontend,Frontend / JavaScript,Junior,Сравните promises с альтернативным подходом.
6,Frontend,Frontend / JavaScript,Junior,Какие ошибки часто допускают при работе с async/await?
7,Frontend,Frontend / JavaScript,Junior,"Как протестировать код, связанный с prototype chain?"
8,Frontend,Frontend / JavaScript,Junior,Как оптимизировать решение с использованием this?
9,Frontend,Frontend / JavaScript,Junior,Как тема bind/call/apply связана с производительностью?
10,Frontend,Frontend / JavaScript,Junior,Как тема hoisting связана с безопасностью?
11,Frontend,Frontend / JavaScript,Junior,Объясните modules.
12,Frontend,Frontend / JavaScript,Junior,Какие проблемы возникают при использовании ESM vs CommonJS?
13,Frontend,Frontend / JavaScript,Junior,Как проверить и отладить iterators?
14,Frontend,Frontend / JavaScript,Junior,Приведите production-пример использования generators.
15,Frontend,Frontend / JavaScript,Junior,Сравните symbols с альтернативным подходом.
16,Frontend,Frontend / JavaScript,Junior,Какие ошибки часто допускают при работе с Map?
17,Frontend,Frontend / JavaScript,Junior,"Как протестировать код, связанный с Set?"
18,Frontend,Frontend / JavaScript,Junior,Как оптимизировать решение с использованием WeakMap?
19,Frontend,Frontend / JavaScript,Junior,Как тема immutability связана с производительностью?
20,Frontend,Frontend / JavaScript,Junior,Как тема deep clone связана с безопасностью?
21,Frontend,Frontend / JavaScript,Junior,Объясните structuredClone.
22,Frontend,Frontend / JavaScript,Junior,Какие проблемы возникают при использовании debounce?
23,Frontend,Frontend / JavaScript,Junior,Как проверить и отладить throttle?
24,Frontend,Frontend / JavaScript,Junior,Приведите production-пример использования event delegation.
25,Frontend,Frontend / JavaScript,Junior,Сравните AbortController с альтернативным подходом.
26,Frontend,Frontend / JavaScript,Junior,Какие ошибки часто допускают при работе с race conditions?
27,Frontend,Frontend / JavaScript,Junior,"Как протестировать код, связанный с memory leaks?"
28,Frontend,Frontend / JavaScript,Junior,Как оптимизировать решение с использованием garbage collection?
29,Frontend,Frontend / JavaScript,Junior,Как тема currying связана с производительностью?
30,Frontend,Frontend / JavaScript,Junior,Как тема memoization связана с безопасностью?
31,Frontend,Frontend / JavaScript,Junior,Объясните functional composition.
32,Frontend,Frontend / JavaScript,Junior,Какие проблемы возникают при использовании destructuring?
33,Frontend,Frontend / JavaScript,Junior,Как проверить и отладить optional chaining?
34,Frontend,Frontend / JavaScript,Junior,Приведите production-пример использования nullish coalescing.
35,Frontend,Frontend / JavaScript,Junior,Сравните strict mode с альтернативным подходом.
